Datetime,Open,High,Low,Close,Adj Close,Volume,MA5,MA20
2021-10-19 00:00:00+01:00,62103.17578125,62260.41015625,61858.84375,62159.66796875,62159.66796875,326451200,,
2021-10-19 01:30:00+01:00,62145.62890625,62236.58203125,61750.62890625,61790.75,61790.75,253313024,,
2021-10-19 03:00:00+01:00,61823.7265625,62944.32421875,61714.9453125,62741.16015625,62741.16015625,2624761856,,
2021-10-19 04:30:00+01:00,62752.20703125,62852.40234375,62352.9375,62423.25,62423.25,342315008,,
2021-10-19 06:00:00+01:00,62416.8125,62490.80859375,62262.60546875,62335.109375,62335.109375,365809664,62289.9875,
2021-10-19 07:30:00+01:00,62359.60546875,62362.44140625,62025.17578125,62362.44140625,62362.44140625,454279168,62330.5421875,
2021-10-19 09:00:00+01:00,62336.84765625,62524.20703125,61825.26953125,62136.77734375,62136.77734375,204832768,62399.74765625,
2021-10-19 10:30:00+01:00,62139.64453125,62355.0078125,62060.640625,62240.296875,62240.296875,155316224,62299.575,
2021-10-19 12:00:00+01:00,62235.6796875,62303.05078125,62050.12109375,62173.21875,62173.21875,44892160,62249.56875,
2021-10-19 13:30:00+01:00,62159.80078125,63145.12890625,62094.90625,62745.5390625,62745.5390625,1704075264,62331.6546875,
2021-10-19 15:00:00+01:00,62663.421875,62764.8203125,61622.93359375,62593.66015625,62593.66015625,1243779072,62377.8984375,
2021-10-19 16:30:00+01:00,62588.359375,63068.9140625,62369.51953125,63068.9140625,63068.9140625,680570880,62564.32578125,
2021-10-19 18:00:00+01:00,63154.3984375,63487.87109375,63100.671875,63368.4140625,63368.4140625,1010651136,62789.94921875,
2021-10-19 19:30:00+01:00,63307.33203125,64198.92578125,63117.33203125,64198.92578125,64198.92578125,1461407744,63195.090625,
2021-10-19 21:00:00+01:00,64209.640625,64329.125,63709.546875,63816.65625,63816.65625,520675328,63409.3140625,
2021-10-19 22:30:00+01:00,63829.9609375,64218.734375,63829.9609375,64021.2890625,64021.2890625,65069056,63694.83984375,
2021-10-20 00:00:00+01:00,64104.09765625,64434.53515625,64042.875,64065.25390625,64065.25390625,532205568,63894.1078125,
2021-10-20 01:30:00+01:00,64041.2890625,64212.24609375,63803.47265625,63854.15625,63854.15625,99749888,63991.25625,
2021-10-20 03:00:00+01:00,63855.94140625,64054.73828125,63797.63671875,63953.01953125,63953.01953125,1552384,63942.075,
2021-10-20 04:30:00+01:00,63962.48046875,64075.23046875,63855.9140625,64063.46875,64063.46875,192245760,63991.4375,63005.5984375
2021-10-20 06:00:00+01:00,64070.55078125,64148.97265625,63610.67578125,63829.4609375,63829.4609375,499671040,63953.071875,63089.0880859375
2021-10-20 07:30:00+01:00,63772.953125,64033.703125,63739.13671875,64033.703125,64033.703125,83181568,63946.76171875,63201.2357421875
2021-10-20 09:00:00+01:00,64024.2734375,64270.4609375,63923.4921875,64001.40625,64001.40625,347029504,63976.21171875,63264.248046875
2021-10-20 10:30:00+01:00,63979.4921875,64054.96484375,63814.9296875,63838.8515625,63838.8515625,161116160,63953.378125,63335.028125
2021-10-20 12:00:00+01:00,63852.42578125,64174.90625,63742.99609375,64174.90625,64174.90625,340402176,63975.665625,63427.01796875
2021-10-20 13:30:00+01:00,64194.05078125,66015.375,64175.52734375,66015.375,66015.375,3575504896,64412.8484375,63609.6646484375
2021-10-20 15:00:00+01:00,66046.3984375,66930.390625,65834.0859375,66586.8046875,66586.8046875,2370396160,64923.46875,63832.166015625
2021-10-20 16:30:00+01:00,66579.9453125,66895.234375,66393.3046875,66461.6015625,66461.6015625,1149095936,65415.5078125,64043.23125
2021-10-20 18:00:00+01:00,66452.5,66645.03125,66135.1015625,66618.7734375,66618.7734375,619905024,65971.4921875,64265.508984375
2021-10-20 19:30:00+01:00,66615.4296875,66692.578125,66293.5234375,66451.625,66451.625,347226112,66426.8359375,64450.81328125
2021-10-20 21:00:00+01:00,66405.8203125,66405.8203125,65677.9921875,65997.609375,65997.609375,453869568,66423.2828125,64621.0107421875
2021-10-20 22:30:00+01:00,65979.4375,66080.984375,65624.1875,65940.6640625,65940.6640625,427081728,66294.0546875,64764.5982421875
2021-10-21 00:00:00+01:00,65901.5234375,66158.625,65704.7265625,65718.6328125,65718.6328125,582303744,66145.4609375,64882.1091796875
2021-10-21 01:30:00+01:00,65754.640625,65866.421875,64730.8359375,64953.1640625,64953.1640625,1364287488,65812.3390625,64919.82109375
2021-10-21 03:00:00+01:00,64977.59765625,65244.8046875,64295.48828125,64656.51953125,64656.51953125,2365349888,65453.31796875,64961.8142578125
2021-10-21 04:30:00+01:00,64590.6484375,65167.75390625,64559.83203125,65099.77734375,65099.77734375,1041719296,65273.7515625,65015.738671875
2021-10-21 06:00:00+01:00,65061.96875,65152.265625,64403.59375,64574.3125,64574.3125,957865984,65000.48125,65041.1916015625
2021-10-21 07:30:00+01:00,64545.41015625,65203.15234375,64264.37109375,65203.15234375,65203.15234375,1526288384,64897.38515625,65108.64140625
2021-10-21 09:00:00+01:00,65105.08203125,66473.7578125,65105.08203125,66351.671875,66351.671875,1620602880,65177.08671875,65228.5740234375
2021-10-21 10:30:00+01:00,66337.765625,66600.546875,65629.171875,65629.171875,65629.171875,1154408448,65371.6171875,65306.8591796875
2021-10-21 12:00:00+01:00,65626.6875,65967.8125,64414.421875,64780.10546875,64780.10546875,3530080256,65307.6828125,65354.39140625
2021-10-21 13:30:00+01:00,64842.76171875,65551.0,64785.20703125,65134.91796875,65134.91796875,734003200,65419.80390625,65409.4521484375
2021-10-21 15:00:00+01:00,64740.875,64880.42578125,63360.171875,63360.171875,63360.171875,551133184,65051.2078125,65377.3904296875
2021-10-21 16:30:00+01:00,62550.8515625,63612.16796875,62550.8515625,62846.5,62846.5,1784578048,64350.1734375,65327.7728515625
2021-10-21 18:00:00+01:00,62819.55859375,63324.34375,62519.5703125,63057.1484375,63057.1484375,606830592,63835.76875,65271.8849609375
2021-10-21 19:30:00+01:00,63099.3828125,63443.5546875,62642.46875,62712.60546875,62712.60546875,988602368,63422.26875,65106.746484375
2021-10-21 21:00:00+01:00,62804.85546875,63025.34765625,62489.0546875,62867.578125,62867.578125,838078464,62968.80078125,64920.78515625
2021-10-21 22:30:00+01:00,62862.7734375,63026.52734375,62281.1953125,62465.85546875,62465.85546875,339341312,62789.9375,64720.9978515625
2021-10-22 00:00:00+01:00,62480.38671875,62775.40625,62117.41015625,62507.17578125,62507.17578125,1314136064,62722.07265625,64515.41796875
2021-10-22 01:30:00+01:00,62598.62109375,63042.87890625,62598.62109375,62625.12890625,62625.12890625,812998656,62635.66875,64324.0931640625
2021-10-22 03:00:00+01:00,62588.40234375,63277.7421875,62574.57421875,63123.8359375,63123.8359375,524730368,62717.91484375,64180.4044921875
2021-10-22 04:30:00+01:00,63113.90234375,63322.19921875,62896.703125,63040.828125,63040.828125,449744896,62752.56484375,64035.4126953125
2021-10-22 06:00:00+01:00,63040.71484375,63178.21484375,62698.0546875,62698.0546875,62698.0546875,461643776,62799.0046875,63884.3837890625
2021-10-22 07:30:00+01:00,62709.3359375,63295.13671875,62532.0546875,63291.72265625,63291.72265625,821506048,62955.9140625,63801.31171875
2021-10-22 09:00:00+01:00,63362.8125,63715.0234375,63334.8046875,63464.09375,63464.09375,504684544,63123.70703125,63741.6904296875
2021-10-22 10:30:00+01:00,63418.23828125,63418.23828125,62968.578125,63215.125,63215.125,255635456,63141.96484375,63647.4578125
2021-10-22 12:00:00+01:00,63211.88671875,63459.3671875,63190.4375,63406.01171875,63406.01171875,214110208,63215.0015625,63589.0427734375
2021-10-22 13:30:00+01:00,63357.87890625,63707.91796875,62484.19140625,62488.625,62488.625,100114432,63173.115625,63453.31640625
2021-10-22 15:00:00+01:00,62430.16796875,62430.16796875,60858.58203125,60870.0,60870.0,1094369280,62688.77109375,63179.2328125
2021-10-22 16:30:00+01:00,60762.43359375,61387.94140625,60122.796875,61282.296875,61282.296875,1645662208,62252.41171875,62961.8890625
2021-10-22 18:00:00+01:00,61198.84765625,61264.0859375,60352.55859375,60658.28125,60658.28125,584540160,61741.04296875,62755.7978515625
2021-10-22 19:30:00+01:00,60637.17578125,60981.828125,60341.328125,60981.828125,60981.828125,740941824,61256.20625,62548.143359375
2021-10-22 21:00:00+01:00,61030.23046875,61183.84375,60734.921875,60785.890625,60785.890625,206643200,60915.659375,62419.429296875
2021-10-22 22:30:00+01:00,60788.4375,60817.94921875,60173.64453125,60671.9296875,60671.9296875,419536896,60876.0453125,62310.70078125
2021-10-23 00:00:00+01:00,60669.46484375,60980.6015625,60462.765625,60965.75,60965.75,498348032,60812.7359375,62206.130859375
2021-10-23 01:30:00+01:00,60938.4609375,61217.96875,60801.70703125,61056.3515625,61056.3515625,483422208,60892.35,62123.3181640625
2021-10-23 03:00:00+01:00,61070.6015625,61274.81640625,61023.0234375,61101.16015625,61101.16015625,167747584,60916.21640625,62034.997265625
2021-10-23 04:30:00+01:00,61126.50390625,61564.75,61049.08984375,61250.62109375,61250.62109375,396922880,61009.1625,61974.235546875
2021-10-23 06:00:00+01:00,61194.859375,61261.63671875,60822.9765625,60977.32421875,60977.32421875,260370432,61070.24140625,61897.74296875
